id	name	id_brands	id_category1	id_category2	id_category3	img	id_color	img_clothers	id_size	img_slide	short_description	full_description	visible	hits	new1	sale	price	date
11	Футболка	9	1	2	0	futbolka (4).jpg	0		0		Марка BODYFLIRT Материал 95% вискоза, 5% эластан Длина 60 см (размер 36/38) Фасон облегающий Вырез круглый Цвет натуральный камень	Модель с коротким рукавом, вырезом-водопадом и модной деталью у выреза. Длина ок. 60 см (разм. 36/38).). 95% вискоза, 5% эластан	0	0	NULL	NULL	429	0000-00-00 00:00:00
12	Футболка	9	1	2	0	futbolka (5).jpg	0		0		Марка BODYFLIRT Материал 95% вискоза, 5% эластан Длина 72 см (размер 36/38) Вырез круглый Цвет кленово-красный	Футболка марки BODYFLIRT из приятного трикотажа. Свободный покрой с закругленным низом. Контрастные швы в области рукавов. Длина ок. 72 см (разм. 36/38). 95% вискоза, 5% эластан	0	0	NULL	NULL	239	0000-00-00 00:00:00
13	Платье	5	1	7	0	plate (2).jpg	белый; красный; черный	plate-ekryu.jpg; plate-madzhenta.jpg; plate-chernyj (1).jpg	34; 36; 38; 40; 42; 44; 46	plate (2).jpg; plate (4).jpg; plate-ekryu.jpg; plate-madzhenta.jpg; plate-chernyj (1).jpg	Материал верх: 70% вискоза, 25% полиэстер, 5% эластан Длина 94 см (размер 38) Длина рукавов 7/8 Длина прикрывает колено Цвет маджента	Настоящее модное заявление: платье в древнегреческом стиле! Великолепная модель с широкими рукавами и объемным круглым вырезом. В талии украшено интегрированным ремнем золотистого цвета. Длина ок. 94 (разм. 38). верх: 70% вискоза, 25% полиэстер, 5% эластан	0	0	NULL	NULL	699	0000-00-00 00:00:00
14	Платье	9	1	7	0	plate (3).jpg	черный + красный с рисунком	plate-chernyj-krasnyj-s-risunkom.jpg	34; 36; 38; 40; 42; 44; 46	plate (3).jpg; plate (5).jpg; plate (6).jpg; plate-chernyj-krasnyj-s-risunkom.jpg	Марка BODYFLIRT Материал верх: 100% полиэстер, подкладка: 100% полиэстер Длина прикрывает колено Цвет черный/красный с рисунком	Единственное в своем роде – платье из благородного сатина с экстравагантным анималистическим принтом. Облегающий покрой. Спереди небольшие сборки. На молнии. На подкладке. Длина ок. 102 см (разм. 42). верх: 100% полиэстер, подкладка: 100% полиэстер	0	0	NULL	NULL	679	0000-00-00 00:00:00
15	Вязаное платье с кружевной отделкой	9	1	7	0	vyazanoe-plate-s-kruzhevnoj-otdelkoj.jpg	черный; синий	vyazanoe-plate-s-kruzhevnoj-otdelkoj-chernyj-belyj.jpg; vyazanoe-plate-s-kruzhevnoj-otdelkoj-temno-sinij-svetlo-seryj.jpg	42; 44; 46; 48	vyazanoe-plate-s-kruzhevnoj-otdelkoj.jpg; vyazanoe-plate-s-kruzhevnoj-otdelkoj (1).jpg; vyazanoe-plate-s-kruzhevnoj-otdelkoj (3).jpg; vyazanoe-plate-s-kruzhevnoj-otdelkoj-chernyj-belyj.jpg; vyazanoe-plate-s-kruzhevnoj-otdelkoj-temno-sinij-svetlo-seryj.jpg	Марка BODYFLIRT Материал 100% полиакрил Длина 90 см (размер 36/38) Длина рукавов длинный рукав Длина мини Вырез V-образный Цвет темно-синий/светло-серый	Прелестное вязаное платье с кружевной отделкой в верхней части. Узкий покрой нежно повторяет женственный силуэт. Длинный рукав. V-образный вырез горловины. Шикарные туфли или туфли на каблуке-шпильке выгодно дополнят эту короткую модель из мягкой пряжи. Длина ок. 90 см (разм. 36/38). 100% полиакрил	0	0	NULL	NULL	599	0000-00-00 00:00:00
16	Топ с воланом	9	1	8	13	top-s-volanom.jpg	красный; синий; белый; черный	top-s-volanom-krasnyj.jpg; top-s-volanom-sinij.jpg; top-s-volanom-belyj.jpg; top-s-volanom-chernyj.jpg	32/34; 36/38; 40/42; 44/46	top-s-volanom.jpg; top-s-volanom (1).jpg; top-s-volanom (2).jpg; top-s-volanom-krasnyj.jpg; top-s-volanom-sinij.jpg; top-s-volanom-belyj.jpg; top-s-volanom-chernyj.jpg	мягкий трикотажа и спереди украшен воланом из легкого тканого материала.	Топ для настоящих модниц! Выполнен из мягкого трикотажа и спереди украшен воланом из легкого тканого материала. Длина ок. 72 см (разм. 36/38).	1	0	NULL	NULL	479	2016-01-11 23:48:01
17	Топ с пайетками	9	1	8	13	top-s-pajetkami.jpg	серо-коричневый; белый; черный	top-s-pajetkami-sero-korichnevyj.jpg; top-s-pajetkami-tsvet-beloj-shersti.jpg; top-s-pajetkami-chernyj.jpg	34/36; 36/38; 40/42	top-s-pajetkami.jpg; top-s-pajetkami (1).jpg; top-s-pajetkami (2).jpg; top-s-pajetkami-sero-korichnevyj.jpg; top-s-pajetkami-tsvet-beloj-shersti.jpg; top-s-pajetkami-chernyj.jpg	Марка BODYFLIRT Материал 95% вискоза, 5% эластан Длина 64 см (размер 36/38) Вырез V-образный	Красивый топ марки BODYFLIRT с матово блестящими пайетками и сборками спереди − обеспечит эффектный образ! Длина ок. 64 см (разм. 36/38). 95% вискоза, 5% эластан	1	0	NULL	NULL	429	2016-01-11 23:54:17
18	Трикотажная блузка	9	1	8	13	trikotazhnaya-bluzka.jpg	белый; черный; лиловая фиалка	trikotazhnaya-bluzka-ekryu.jpg; trikotazhnaya-bluzka-chernyj.jpg; trikotazhnaya-bluzka-lilovaya-fialka.jpg	34/36; 36/38; 40/42	trikotazhnaya-bluzka.jpg; trikotazhnaya-bluzka (1).jpg; trikotazhnaya-bluzka (2).jpg; trikotazhnaya-bluzka (3).jpg; trikotazhnaya-bluzka-ekryu.jpg; trikotazhnaya-bluzka-chernyj.jpg; trikotazhnaya-bluzka-lilovaya-fialka.jpg	Марка BODYFLIRT Длина 60 см (размер 36/38) Длина рукавов без рукавов Застежка пуговицы	Смотрится шикарно и женственно: элегантная трикотажная блузка марки BODYFLIRT с нежным кружевом и небольшим воротником-стойкой − настоящая приманка для глаз, которая поможет Вам создать сногсшибательный образ! Длина ок. 64 см (разм. 36/38). 96% вискоза, 4% эластан	1	1	NULL	NULL	549	2016-01-12 00:04:31
19	Топ	9	1	8	13	top.jpg	кремовый	top-kremovyj.jpg	34; 36; 38; 40; 42; 44	top.jpg; top (1).jpg; top (2).jpg; top-kremovyj.jpg	Марка BODYFLIRT Цвет кремовый	Очень элегантная и эксклюзивная модель. Из благородного высококачественного гипюра. Подкладка и спинка из нежного трикотажа. Круглый вырез. Сзади вырез в виде слезы на пуговицах. Длина ок. 63 см (разм. 42).	1	0	NULL	NULL	649	2016-01-12 00:04:31
20	Трикотажный топ	11	1	8	14	trikotazhnyj-top.jpg	белый с рисунком	trikotazhnyj-top-belyj-s-risunkom.jpg	32/34; 34/36; 36/38; 38/40	trikotazhnyj-top.jpg; trikotazhnyj-top (1).jpg; trikotazhnyj-top (2).jpg; trikotazhnyj-top-belyj-s-risunkom.jpg	Марка RAINBOW Материал 100% вискоза Длина 68 см (размер 36/38) Длина рукавов без рукавов Вырез круглый Бретельки широкие Цвет белый с рисунком	Непринужденный трикотажный топ свободного покроя. Сзади длиннее, чем спереди. Длина ок. 68 см (разм. 36/38). 100% вискоза	1	0	NULL	NULL	239	2016-01-12 00:11:16
21	Купальный топ	10	1	8	14	kupalnyj-top.jpg	черный	kupalnyj-top-chernyj.jpg	36; 38; 40; 42; 44; 46	kupalnyj-top.jpg; kupalnyj-top (1).jpg; kupalnyj-top (2).jpg; kupalnyj-top (3).jpg; kupalnyj-top-chernyj.jpg	Марка bpc bonprix collection Материал верх: 80% полиамид, 20% эластан, подкладка: 100% полиэстер Бретельки через шею, не регулируется Вкладыши съемные подушечки Характеристики подкладка в области груди Оснащение резинка под грудью	Съемные мягкие подушечки в чашках, подкладка в области груди, эластичная лента под грудью. На шее завязывается на ленты. Вырез украшен бахромой. верх: 80% полиамид, 20% эластан, подкладка: 100% полиэстер	1	0	NULL	NULL	579	2016-01-12 00:15:48
22	Трикотажный топ	9	1	8	14	trikotazhnyj-top (3).jpg	зеленый океан; белый; изумрудный; нежно лимонный; темно-синий	trikotazhnyj-top-zelenyj-okean.jpg; trikotazhnyj-top-belyj.jpg; trikotazhnyj-top-izumrudnyj.jpg; trikotazhnyj-top-nezhno-limonnyj.jpg; trikotazhnyj-top-temno-sinij.jpg	32/34; 34/36; 36/38; 38/40	trikotazhnyj-top (3).jpg; trikotazhnyj-top (4).jpg; trikotazhnyj-top (5).jpg; trikotazhnyj-top-zelenyj-okean.jpg; trikotazhnyj-top-belyj.jpg; trikotazhnyj-top-izumrudnyj.jpg; trikotazhnyj-top-nezhno-limonnyj.jpg; trikotazhnyj-top-temno-sinij.jpg	Марка BODYFLIRT Материал 95% вискоза, 5% эластан Длина 64 см (размер 36/38) Длина рукавов короткий рукав Вырез водопад	Модель с небольшим вырезом-водопадом, создающим великолепное декольте! Рукава «летучая мышь» с сексапильными разрезами и аппликация в виде стразов отлично завершают общую картину. Длина ок. 64 см (разм. 36/38). Машинная стирка. 95% вискоза, 5% эластан	1	0	NULL	NULL	429	2016-01-12 00:20:49
